call	phase	width	base	selected	effective	entry_active	local_peak	ops_added
320	tlm_apply_forward_mod_add_register	256	50	48	44	1110	1110	5201
321	tlm_apply_forward_mod_add_register	256	51	49	45	1109	1109	5201
322	tlm_apply_forward_mod_add_register	256	52	50	46	1108	1108	5201
323	tlm_apply_forward_mod_add_register	256	51	49	45	1109	1109	5201
324	tlm_apply_forward_mod_add_register	256	52	50	46	1108	1108	5201
325	tlm_apply_forward_mod_add_register	256	53	51	47	1107	1107	5201
326	tlm_apply_forward_mod_add_register	256	52	50	46	1108	1108	5201
327	tlm_apply_forward_mod_add_register	256	53	51	47	1107	1107	5201
328	tlm_apply_forward_mod_add_register	256	54	52	48	1106	1106	4888
329	tlm_apply_forward_mod_add_register	256	53	51	47	1107	1107	5201
330	tlm_apply_forward_mod_add_register	256	54	52	48	1106	1106	4888
331	tlm_apply_forward_mod_add_register	256	55	53	49	1105	1105	4888
332	tlm_apply_forward_mod_add_register	256	54	52	48	1106	1106	4888
333	tlm_apply_forward_mod_add_register	256	55	53	49	1105	1105	4888
334	tlm_apply_forward_mod_add_register	256	56	54	50	1104	1104	4888
335	tlm_apply_forward_mod_add_register	256	55	53	49	1105	1105	4888
336	tlm_apply_forward_mod_add_register	256	56	54	50	1104	1104	4888
337	tlm_apply_forward_mod_add_register	256	57	55	51	1103	1103	4888
338	tlm_apply_forward_mod_add_register	256	56	54	50	1104	1104	4888
339	tlm_apply_forward_mod_add_register	256	57	55	51	1103	1103	4888
340	tlm_apply_forward_mod_add_register	256	58	56	52	1102	1102	4888
341	tlm_apply_forward_mod_add_register	256	57	55	51	1103	1103	4888
342	tlm_apply_forward_mod_add_register	256	58	56	52	1102	1102	4888
343	tlm_apply_forward_mod_add_register	256	59	57	53	1101	1101	4888
344	tlm_apply_forward_mod_add_register	256	58	56	52	1102	1102	4888
345	tlm_apply_forward_mod_add_register	256	59	57	53	1101	1101	4888
346	tlm_apply_forward_mod_add_register	256	60	58	54	1100	1100	4888
347	tlm_apply_forward_mod_add_register	256	59	57	53	1101	1101	4888
348	tlm_apply_forward_mod_add_register	256	60	58	54	1100	1100	4888
349	tlm_apply_forward_mod_add_register	256	61	59	55	1099	1099	4888
350	tlm_apply_forward_mod_add_register	256	60	58	54	1100	1100	4888
351	tlm_apply_forward_mod_add_register	256	61	59	55	1099	1099	4888
352	tlm_apply_forward_mod_add_register	256	62	60	56	1098	1098	4575
353	tlm_apply_forward_mod_add_register	256	61	59	55	1099	1099	4888
354	tlm_apply_forward_mod_add_register	256	62	60	56	1098	1098	4575
355	tlm_apply_forward_mod_add_register	256	63	61	57	1097	1097	4575
356	tlm_apply_forward_mod_add_register	256	62	60	56	1098	1098	4575
357	tlm_apply_forward_mod_add_register	256	63	61	57	1097	1097	4575
358	tlm_apply_forward_mod_add_register	256	64	62	58	1096	1096	4575
359	tlm_apply_forward_mod_add_register	256	63	61	57	1097	1097	4575
360	tlm_apply_forward_mod_add_register	256	64	62	58	1096	1096	4575
361	tlm_apply_forward_mod_add_register	256	65	63	59	1095	1095	4575
362	tlm_apply_forward_mod_add_register	256	64	62	58	1096	1096	4575
363	tlm_apply_forward_mod_add_register	256	65	63	59	1095	1095	4575
364	tlm_apply_forward_mod_add_register	256	66	64	60	1094	1094	4575
365	tlm_apply_forward_mod_add_register	256	65	63	59	1095	1095	4575
366	tlm_apply_forward_mod_add_register	256	66	64	60	1094	1094	4575
367	tlm_apply_forward_mod_add_register	256	67	65	61	1093	1093	4575
368	tlm_apply_forward_mod_add_register	256	66	64	60	1094	1094	4575
369	tlm_apply_forward_mod_add_register	256	67	65	61	1093	1093	4575
370	tlm_apply_forward_mod_add_register	256	68	66	62	1092	1092	4575
371	tlm_apply_forward_mod_add_register	256	67	65	61	1093	1093	4575
372	tlm_apply_forward_mod_add_register	256	68	66	62	1092	1092	4575
